sensor,x,y
320,72.2981796265,-347.1109619141
321,72.4140014648,-348.1244201660
322,72.5311584473,-349.1376342773
323,72.6464691162,-350.1510620117
324,72.7567214966,-351.1650085449
325,72.8586044312,-352.1798095703
326,72.9487457275,-353.1956481934
327,73.0235900879,-354.2127075195
328,73.0794448853,-355.2309570312
329,73.1123962402,-356.2501220703
330,73.1183929443,-357.2697448730
331,73.0931701660,-358.2890625000
332,73.0323333740,-359.3067932129
333,72.9314651489,-360.3213195801
334,72.7861938477,-361.3303527832
335,72.5924224854,-362.3311767578
336,72.3465270996,-363.3204650879
337,72.0456085205,-364.2943420410
338,71.6877288818,-365.2487792969
339,71.2721481323,-366.1795043945
340,70.7993316650,-367.0825195312
341,70.2741394043,-367.9562988281
342,69.7108154297,-368.8061828613
343,69.1228790283,-369.6394653320
344,68.5219497681,-370.4635620117
345,67.9189147949,-371.2862548828
346,67.3251190186,-372.1157226562
347,66.7538375854,-372.9609680176
348,66.2222518921,-373.8317871094
349,65.7544937134,-374.7384643555
350,65.3857192993,-375.6895751953
351,65.1582412720,-376.6837463379
352,65.0919647217,-377.7013854980
353,65.1875076294,-378.7167358398
354,65.4312438965,-379.7070617676
355,65.8013153076,-380.6575317383
356,66.2743377686,-381.5613098145
357,66.8295593262,-382.4170532227
358,67.4501266479,-383.2266845703
359,68.1229782104,-383.9934387207
360,68.8381042480,-384.7208862305
361,69.5878677368,-385.4125671387
362,70.3664093018,-386.0717163086
363,71.1691818237,-386.7011108398
364,71.9925994873,-387.3032226562
365,72.8338165283,-387.8801574707
366,73.6905822754,-388.4337768555
367,74.5610351562,-388.9655761719
368,75.4436645508,-389.4769287109
369,76.3372344971,-389.9689025879
370,77.2406921387,-390.4425048828
371,78.1531753540,-390.8984375000
372,79.0739593506,-391.3373413086
373,80.0024261475,-391.7597351074
374,80.9380569458,-392.1660461426
375,81.8804168701,-392.5565185547
376,82.8291244507,-392.9312438965
377,83.7838897705,-393.2903137207
378,84.7444229126,-393.6336364746
379,85.7105255127,-393.9609680176
380,86.6820144653,-394.2719726562
381,87.6587371826,-394.5661010742
382,88.6405105591,-394.8429260254
383,89.6271362305,-395.1019287109
384,90.6183776855,-395.3427124023
385,91.6139907837,-395.5647277832
386,92.6136856079,-395.7676086426
387,93.6171493530,-395.9508972168
388,94.6240615845,-396.1142578125
389,95.6340713501,-396.2572937012
390,96.6467819214,-396.3796997070
391,97.6618041992,-396.4812316895
392,98.6787185669,-396.5616149902
393,99.6971054077,-396.6206970215
394,100.7165145874,-396.6583251953
395,101.7364959717,-396.6744689941
396,102.7565917969,-396.6690063477
397,103.7763442993,-396.6420288086
398,104.7953186035,-396.5936584473
399,105.8130569458,-396.5240173340
400,106.8291397095,-396.4332885742
401,107.8431549072,-396.3217468262
402,108.8547058105,-396.1897583008
403,109.8634338379,-396.0376281738
404,110.8689880371,-395.8658142090
405,111.8710632324,-395.6746826172
406,112.8693847656,-395.4648742676
407,113.8637084961,-395.2368164062
408,114.8538131714,-394.9911193848
409,115.8395233154,-394.7283020020
410,116.8206939697,-394.4490966797
411,117.7972183228,-394.1540222168
412,118.7690277100,-393.8437194824
413,119.7360687256,-393.5189208984
414,120.6983337402,-393.1802368164
415,121.6558303833,-392.8283081055
416,122.6086196899,-392.4638061523
417,123.5567550659,-392.0874023438
418,124.5003509521,-391.6997680664
419,125.4395065308,-391.3015136719
420,126.3743743896,-390.8932800293
421,127.3050994873,-390.4757385254
422,128.2318878174,-390.0494995117
423,129.1548767090,-389.6151428223
424,130.0743103027,-389.1732788086
425,130.9904022217,-388.7245788574
426,131.9033660889,-388.2695617676
427,132.8134613037,-387.8088073730
428,133.7209014893,-387.3428955078
429,134.6259765625,-386.8724060059
430,135.5289154053,-386.3978576660
431,136.4300079346,-385.9197998047
432,137.3295135498,-385.4388122559
433,138.2276763916,-384.9552917480
434,139.1244964600,-384.4693298340
435,140.0199584961,-383.9808349609
436,140.9140625000,-383.4898986816
437,141.8067626953,-382.9963378906
438,142.6980285645,-382.5002441406
439,143.5878601074,-382.0015563965
440,144.4761962891,-381.5002136230
441,145.3630218506,-380.9962158203
442,146.2483215332,-380.4895629883
443,147.1320495605,-379.9801330566
444,148.0141906738,-379.4679870605
445,148.8947143555,-378.9530334473
446,149.7736053467,-378.4353027344
447,150.6508026123,-377.9147033691
448,151.5262908936,-377.3912658691
449,152.4000549316,-376.8649291992
450,153.2720336914,-376.3356628418
451,154.1422119141,-375.8034667969
452,155.0105743408,-375.2682495117
453,155.8770751953,-374.7300415039
454,156.7416687012,-374.1887817383
455,157.6043395996,-373.6444702148
456,158.4650573730,-373.0970153809
457,159.3237609863,-372.5465087891
458,160.1804504395,-371.9927978516
459,161.0350646973,-371.4359130859
460,161.8875885010,-370.8758239746
461,162.7379608154,-370.3125000000
462,163.5861663818,-369.7459106445
463,164.4321594238,-369.1760253906
464,165.2759094238,-368.6028137207
465,166.1173858643,-368.0262451172
466,166.9565124512,-367.4463195801
467,167.7932891846,-366.8629760742
468,168.6276702881,-366.2762145996
469,169.4595947266,-365.6860046387
470,170.2890472412,-365.0923156738
471,171.1159820557,-364.4950866699
472,171.9403381348,-363.8943481445
473,172.7620849609,-363.2900390625
474,173.5811920166,-362.6821289062
475,174.3976135254,-362.0706481934
476,175.2112884521,-361.4555358887
477,176.0221862793,-360.8367614746
