sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
89,0.236,0.20736,0.11824,0.09256,0.11552,0.13112,0.4288,0.64832,0.34272,0.27848,0.15768,0.28528
90,0.2396,0.20744,0.12064,0.09408,0.1192,0.12424,0.4288,0.17544,0.32976,0.05896,0.15736,0.28528
91,0.23968,0.21288,0.12192,0.0928,0.12024,0.12176,0.4288,0.1048,0.12424,0.34504,0.15864,0.28112
92,0.24096,0.21264,0.11976,0.09288,0.11944,0.12224,0.60048,0.24328,0.25672,0.27904,0.176,0.28576
93,0.24096,0.21248,0.11976,0.09288,0.11296,0.12256,0.66496,0.1148,0.25392,0.2788,0.15808,0.28048
94,0.2408,0.21224,0.11968,0.09296,0.11832,0.12424,0.06016,0.3656,0.25384,0.27776,0.16168,0.2852
95,0.23976,0.21384,0.1196,0.09336,0.12112,0.1216,0.54064,0.51648,0.11392,0.27776,0.16176,0.28096
96,0.24096,0.21416,0.12256,0.09512,0.11744,0.12152,0.28352,0.59104,0.11352,0.32352,0.16128,0.28096
97,0.24096,0.21432,0.12256,0.09504,0.11776,0.11976,0.40168,0.5772,0.08776,0.27832,0.16032,0.28712
98,0.2408,0.21408,0.12256,0.09512,0.11,0.11728,0.31824,0.36912,0.05368,0.2776,0.15976,0.28752
99,0.24096,0.23,0.12304,0.0956,0.11256,0.12168,0.61584,0.51648,0.12328,0.27744,0.16072,0.28736
100,0.24928,0.21928,0.1232,0.09544,0.11224,0.11584,0.1016,0.5164,0.34344,0.35616,0.16512,0.28872
101,0.25128,0.21912,0.1232,0.09552,0.11208,0.11744,0.10168,0.57688,0.34344,0.3408,0.16416,0.2844
102,0.25272,0.21904,0.12304,0.09552,0.11208,0.11736,0.43064,0.57688,0.05144,0.12104,0.16168,0.28408
103,0.25256,0.21872,0.12304,0.09432,0.11256,0.11664,0.41856,0.06248,0.19096,0.09448,0.1632,0.28312
104,0.24656,0.21968,0.1232,0.09312,0.11232,0.11584,0.03704,0.67168,0.19088,0.09456,0.16944,0.28544
105,0.24808,0.2196,0.1232,0.09504,0.11216,0.11576,0.02864,0.41488,0.19088,0.34112,0.16672,0.28656
106,0.25256,0.23408,0.12296,0.09512,0.11216,0.116,0.43072,0.41504,0.1064,0.32976,0.16136,0.29072
107,0.25248,0.21984,0.12288,0.09656,0.10744,0.11608,0.3268,0.78656,0.03728,0.32032,0.16888,0.29096
108,0.25896,0.21992,0.12408,0.09664,0.10472,0.11288,0.42824,0.10008,0.1408,0.09432,0.16856,0.2908
109,0.25448,0.2312,0.11208,0.09504,0.10704,0.11544,0.04048,0.3648,0.276,0.09448,0.16256,0.29192
110,0.25624,0.23088,0.1264,0.0952,0.10624,0.11784,0.32344,0.7504,0.1056,0.09456,0.16248,0.28928
111,0.2564,0.2308,0.12648,0.09504,0.10736,0.11584,0.32336,0.48864,0.3424,0.28824,0.16096,0.2908
112,0.2564,0.23056,0.12624,0.09736,0.1048,0.12616,0.48312,0.76296,0.34224,0.21904,0.16328,0.29224
113,0.25656,0.22296,0.12416,0.0996,0.10728,0.1068,0.58368,0.76296,0.03992,0.21912,0.16336,0.29152
114,0.2584,0.2268,0.12672,0.09576,0.10208,0.11744,0.56408,0.76272,0.16616,0.39568,0.1628,0.29504
115,0.258,0.22528,0.1252,0.0972,0.09632,0.1084,0.05464,0.06816,0.3428,0.0092,0.1632,0.28648
116,0.26448,0.22512,0.12528,0.0972,0.09952,0.10344,0.1048,0.19304,0.3428,0.34872,0.166,0.28712
