sensor,x,y
270,74.9195022583,-311.8406677246
271,74.7674560547,-312.8221435547
272,74.6122360229,-313.8043823242
273,74.4545593262,-314.7873840332
274,74.2951126099,-315.7712707520
275,74.1346359253,-316.7560729980
276,73.9737930298,-317.7419128418
277,73.8133163452,-318.7287902832
278,73.6539077759,-319.7167663574
279,73.4962539673,-320.7059936523
280,73.3410797119,-321.6964416504
281,73.1890945435,-322.6882324219
282,73.0409851074,-323.6814270020
283,72.8974685669,-324.6760559082
284,72.7592468262,-325.6722106934
285,72.6270294189,-326.6699829102
286,72.5015106201,-327.6694030762
287,72.3834152222,-328.6705017090
288,72.2734222412,-329.6734313965
289,72.1722640991,-330.6781616211
290,72.0806350708,-331.6848449707
291,71.9992370605,-332.6935119629
292,71.9287796021,-333.7041931152
293,71.8699722290,-334.7169799805
294,71.8235168457,-335.7319335938
295,71.7901229858,-336.7491455078
296,71.7704849243,-337.7686462402
297,71.7653198242,-338.7904968262
298,71.7753372192,-339.8147277832
299,71.8012237549,-340.8414916992
300,71.8437118530,-341.8707885742
301,71.9034805298,-342.9027099609
302,71.9809951782,-343.9372253418
303,72.0741729736,-344.9738769531
304,72.1794891357,-346.0119323730
305,72.2933883667,-347.0507507324
306,72.4123458862,-348.0895690918
307,72.5328216553,-349.1277465820
308,72.6512603760,-350.1645202637
309,72.7641296387,-351.1992187500
310,72.8679046631,-352.2311096191
311,72.9590225220,-353.2595520020
312,73.0339584351,-354.2838439941
313,73.0891723633,-355.3032226562
314,73.1211166382,-356.3170776367
315,73.1262512207,-357.3246765137
316,73.1010360718,-358.3253479004
317,73.0419082642,-359.3183898926
318,72.9453125000,-360.3031311035
319,72.8076934814,-361.2788696289
320,72.6255111694,-362.2449645996
321,72.3951873779,-363.2006530762
322,72.1131439209,-364.1453247070
323,71.7758407593,-365.0782775879
324,71.3796920776,-365.9987487793
325,70.9211196899,-366.9060668945
326,70.3989334106,-367.7996520996
327,69.8257522583,-368.6800842285
328,69.2192535400,-369.5486450195
329,68.5970993042,-370.4064025879
330,67.9769439697,-371.2546386719
331,67.3764801025,-372.0944824219
332,66.8133621216,-372.9270629883
333,66.3052749634,-373.7534484863
334,65.8698348999,-374.5746765137
335,65.5246047974,-375.3917236328
336,65.2860336304,-376.2055358887
337,65.1580657959,-377.0165405273
338,65.1362380981,-377.8239135742
339,65.2159881592,-378.6268310547
340,65.3928604126,-379.4244995117
341,65.6624298096,-380.2160644531
342,66.0203094482,-381.0005187988
343,66.4620971680,-381.7769470215
344,66.9833831787,-382.5442810059
345,67.5797500610,-383.3014831543
346,68.2467193604,-384.0474853516
347,68.9798507690,-384.7812500000
348,69.7746505737,-385.5016784668
349,70.6266326904,-386.2077941895
350,71.5313110352,-386.8984069824
351,72.4841995239,-387.5726013184
352,73.4807815552,-388.2292480469
353,74.5165634155,-388.8673095703
354,75.5870590210,-389.4857482910
355,76.6877441406,-390.0834960938
356,77.8141326904,-390.6595458984
357,78.9617233276,-391.2128601074
358,80.1259994507,-391.7423706055
359,81.3024826050,-392.2470397949
